question,q_word,q_pos,root,root_pos,root_lemma,wh_word,wh_head,wh_bigram,wh_pos,wh_head_pos,subj,subj_pos,subj_ner,label
What radio station did Paul Harvey work for ?,,,did,VBD,do,what,radio,"['what', 'radio']",WP,NN,station Harvey,NNP,PERSON,ORG
What character narrates Treasure Island ?,,,narrates,VBZ,narrate,what,character,"['what', 'character']",WDT,NN,character,NN,,PERSON
Who starred with Charlie Chaplin in Modern Times and The Great Dictator ?,,,starred,VBD,star,who,star,"['who', 'star']",WP,VBD,Who,WP,,PERSON
What seven digits follow the area code in the number for long distance information ?,,,follow,VBP,follow,what,seven,"['what', 'seven']",WP,CD,digits,NNS,,CARDINAL
What Catch-22 character is elected mayor of half a dozen Italian cities ?,,,elected,VBN,elect,what,Catch-22,"['what', 'Catch-22']",WP,NNP,,,,PERSON
"Whom does Uncle Duke 's girl friend , Honey , room with ?",,,room,NN,room,whom,do,"['whom', 'do']",WP,VBZ,,,,PERSON
"When called upon to surrender , what American general replied , `` Sir , I have not yet begun to fight . '' ?",,,replied,VBD,reply,what,american,"['what', 'american']",WP,JJ,general I,PRP,,PERSON
When was the bar-code invented ?,,,invented,VBD,invent,when,be,"['when', 'be']",WRB,VBD,code,NN,,DATE
What team did Babe Ruth play his first major league game for ?,,,play,VB,play,what,team,"['what', 'team']",WDT,NN,team Ruth,NNP,PERSON,ORG
What relative of Leo Tolstoy translated War and Peace eight times ?,,,translated,VBD,translate,what,relative,"['what', 'relative']",WDT,NN,,,,PERSON
How many cards is each player dealt in Contract Bridge ?,,,is,VBZ,be,how,many,"['how', 'many']",WRB,JJ,cards player,NN,,CARDINAL
Who was the second person ever to wear Iron Man 's armor ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
Who is the director and editor of the movie Big starring Tom Hanks ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,director,NN,,PERSON
What is the Homelite Inc. home page ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,page,NN,,LOC
How old was Stevie Wonder when he signed with Motown Records ?,,,was,VBD,be,when,-PRON-,"['when', '-PRON-']",WRB,PRP,Wonder he,PRP,,DATE
Who won two gold medals in skiing in the Olympic Games in Calgary ?,,,won,VBD,win,who,win,"['who', 'win']",WP,VBD,Who,WP,,PERSON
What year was the Avery Dennison company founded ?,,,was,VBD,be,what,year,"['what', 'year']",WDT,NN,company,NN,,DATE
Where does the U.S. rank among world countries in area ?,,,rank,NN,rank,where,do,"['where', 'do']",WRB,VBZ,,,,ORDINAL
What are the four railways in Monopoly ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,railways,NNS,,ORG
What are the names of all the seas in the world and what ocean do they drain into ?,,,drain,VB,drain,what,ocean,"['what', 'ocean']",WDT,NN,names they,PRP,,LOC
Name the highest mountain .,,,Name,VB,name,,,[],,,,,,LOC
What island is home to statues called Mauis ?,,,is,VBZ,be,what,island,"['what', 'island']",WDT,NN,,,,LOC
What 's the most extensively grown and eaten food ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,What,WP,,PRODUCT
What was the worst hurricane ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,hurricane,NN,,EVENT
Where was Pythagoras born ?,,,born,VBN,bear,where,be,"['where', 'be']",WRB,VBD,,,,GPE
What 1927 silent film received an international revival in 1981 ?,,,received,VBD,receive,what,1927,"['what', '1927']",WP,CD,film,NN,,WORK_OF_ART
What is the price for AAA 's liability auto insurance ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,price,NN,,MONEY
Who are the top ten richest people in the world ?,,,are,VBP,be,who,be,"['who', 'be']",WP,VBP,Who,WP,,PERSON
Who is the leader of Brunei ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
What is the capital of Italy ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,capital,NN,,GPE
What is the greatest hiking Web site ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,site,NN,,LOC
"What is the population of Arcadia , Florida ?",,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,population,NN,,QUANTITY
What Stephen King novel is set in a graveyard for pets ?,,,set,VBN,set,what,Stephen,"['what', 'Stephen']",WP,NNP,,,,WORK_OF_ART
Who were the head writers for the Smothers Brothers Comedy Hour ?,,,were,VBD,be,who,be,"['who', 'be']",WP,VBD,writers,NNS,,PERSON
Who portrayed Prewett in From Here to Eternity ?,,,portrayed,VBD,portray,who,portray,"['who', 'portray']",WP,VBD,Who,WP,,PERSON
What was the sequel to The Pink Panther ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,sequel,NN,,WORK_OF_ART
How many people live in cities ?,,,live,VBP,live,how,many,"['how', 'many']",WRB,JJ,people,NNS,,CARDINAL
How high must a mountain be to be called a mountain ?,,,be,VB,be,how,high,"['how', 'high']",WRB,JJ,mountain,NN,,QUANTITY
What Scottish poet penned To a Mouse and To a Louse ?,,,poet,NN,poet,what,scottish,"['what', 'scottish']",WP,JJ,,,,PERSON
What is the name of the inventor of silly putty ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,PERSON
What ocean surrounds the Madeira Islands ?,,,surrounds,VBZ,surround,what,ocean,"['what', 'ocean']",WP,NN,ocean,NN,,LOC
What famous communist leader died in Mexico City ?,,,died,VBD,die,what,famous,"['what', 'famous']",WDT,JJ,leader,NN,,PERSON
What are the capital cities of the two large countries that occupy the Iberian peninsula in Europe ?,,,are,VBP,be,that,occupy,"['that', 'occupy']",WDT,VBP,cities that,WDT,,GPE
How many mines can still be found in the Falklands after the war ended ?,,,found,VBN,find,how,many,"['how', 'many']",WRB,JJ,war,NN,,CARDINAL
How many gallons of water go over Niagra Falls every second ?,,,go,VB,go,how,many,"['how', 'many']",WRB,JJ,gallons,NNS,,CARDINAL
Who was the first woman to run the mile in less than 4 36893 minutes ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
How many copies of an album must be sold for it to be a gold album ?,,,sold,VBN,sell,how,many,"['how', 'many']",WRB,JJ,it,PRP,,CARDINAL
What is `` the soft drink for adults '' ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,drink,NN,,PRODUCT
What is the only vegetable that starts with `` z '' ?,,,is,VBZ,be,that,start,"['that', 'start']",WDT,VBZ,vegetable that,WDT,,PRODUCT
Who awarded The Flying Fickle Finger of Fate ?,,,awarded,VBD,award,who,award,"['who', 'award']",WP,VBD,Who,WP,,PERSON
"In Sinclair Lewis ' `` Main Street , '' what was the name of the typical American town ?",,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,name,NN,,LOC
What is the largest city in Texas ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,city,NN,,GPE
"What future deer hunter portrayed Annie Hall 's neurotic brother , Duane ?",,,portrayed,VBD,portray,what,future,"['what', 'future']",WDT,JJ,hunter,NN,,PERSON
What drink is the best thirst-quencher ?,,,is,VBZ,be,what,drink,"['what', 'drink']",WDT,NN,,,,PRODUCT
Where can I get a map of Prussia on the Internet ?,,,get,VB,get,where,can,"['where', 'can']",WRB,MD,I,PRP,,LOC
What was the longest war in U.S. history ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,war,NN,,EVENT
What are the five richest countries in the world ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,countries,NNS,,GPE
Where is McCarren Airport ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,Airport,NNP,FAC,GPE
What are the top boy names in the U.S. ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,names,NNS,,PERSON
How many tiles did the Space Shuttle Columbia lose on its second flight ?,,,lose,VB,lose,how,many,"['how', 'many']",WRB,JJ,tiles Columbia,NNP,,CARDINAL
How many teaspoons make up a tablespoon ?,,,make,VBP,make,how,many,"['how', 'many']",WRB,JJ,teaspoons,NNS,,CARDINAL
Who was the lyricist and who was the composer between Gilbert and Sullivan ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,who,WP,,PERSON
Who was the lawyer for Randy Craft ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
Who was the 3rd president of the United States ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,Who,WP,,PERSON
Name Dick Tracy 's two children .,,,children,NNS,child,,,[],,,,,,PERSON
What fraction of a beaver 's life is spent swimming ?,,,spent,VBN,spend,what,fraction,"['what', 'fraction']",WDT,NN,,,,PERCENT
What is the most radioactive food ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,food,NN,,PRODUCT
What was the previous name for the Commonwealth ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,name,NN,,ORG
How much will gas be taxed in California by the year 2000 ?,,,taxed,VBN,tax,how,much,"['how', 'much']",WRB,JJ,,,,MONEY
Who gave King Arthur the round table ?,,,gave,VBD,give,who,give,"['who', 'give']",WP,VBD,Who,WP,,PERSON
What state in the United States covers the largest area ?,,,covers,VBZ,cover,what,state,"['what', 'state']",WDT,NN,state,NN,,GPE
Who became president of the U.S. in 1789 ?,,,became,VBD,become,who,become,"['who', 'become']",WP,VBD,Who,WP,,PERSON
Who wrote `` The Scarlet Letter '' ?,,,wrote,VBD,write,who,write,"['who', 'write']",WP,VBD,Who,WP,,PERSON
Who did Sara Jane Moore try to assassinate ?,,,try,VB,try,who,do,"['who', 'do']",WP,VBD,Who Moore,NNP,PERSON,PERSON
How many dots make up the symbol for `` because '' ?,,,make,VBP,make,how,many,"['how', 'many']",WRB,JJ,dots,NNS,,CARDINAL
What did the pyramid-builders of Egypt mainly eat ?,,,eat,VB,eat,what,do,"['what', 'do']",WP,VBD,builders,NNS,,PRODUCT
Which king signed the Magna Carta ?,,,signed,VBD,sign,which,king,"['which', 'king']",WDT,NN,king,NN,,PERSON
What software offers inventors use of CAD-like design ?,,,offers,VBZ,offer,what,software,"['what', 'software']",WDT,NN,software,NN,,WORK_OF_ART
Name the child left on a doorstep at the beginning of Gasoline Alley .,,,left,VBN,leave,,,[],,,Name,VB,,PERSON
How many zip codes are there in the U.S. ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,codes,NNS,,CARDINAL
Which college did Dikembe Mutombo play basketball for ?,,,play,VBP,play,which,college,"['which', 'college']",WDT,NN,Mutombo,NNP,ORG,ORG
How long does it take the Milky Way Galaxy to make one revolution ?,,,take,VB,take,how,long,"['how', 'long']",WRB,RB,it,PRP,,DATE
How many people own pets ?,,,own,VBP,own,how,many,"['how', 'many']",WRB,JJ,people,NNS,,CARDINAL
What web sites are linked to the Report on Genesis Eldercare ?,,,linked,VBN,link,what,web,"['what', 'web']",WP,NN,,,,LOC
How long does it take different materials to decompose ?,,,take,VB,take,how,long,"['how', 'long']",WRB,RB,it,PRP,,TIME
How many colors are there in a rainbow ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What was Darth Vader 's son named ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,son,NN,,PERSON
What British female pop singing star of the 1960s and early 1970s was a child actress in the 1940s and '50s ?,,,was,VBD,be,what,british,"['what', 'british']",WP,JJ,star,NN,,PERSON
Where is McCarren Airport located ?,,,located,VBN,locate,where,be,"['where', 'be']",WRB,VBZ,Airport,NNP,FAC,GPE
"What part of Britain comprises the Highlands , Central Lowlands , and Southern Uplands ?",,,comprises,VBZ,comprise,what,part,"['what', 'part']",WDT,NN,part,NN,,LOC
How many Marx Brothers were there ?,,,were,VBD,be,how,many,"['how', 'many']",WRB,JJ,Brothers,NNPS,ORG,CARDINAL
How tall is the Matterhorn ?,,,is,VBZ,be,how,tall,"['how', 'tall']",WRB,JJ,Matterhorn,NNP,,QUANTITY
What country is proud to claim Volcano National Park ?,,,is,VBZ,be,what,country,"['what', 'country']",WP,NN,country,NN,,GPE
When was Babe Ruth born ?,,,born,VBN,bear,when,be,"['when', 'be']",WRB,VBD,Ruth,NNP,PERSON,DATE
Who portrayed Field Marshal Erwin Rommel in The Desert Fox ?,,,portrayed,VBD,portray,who,portray,"['who', 'portray']",WP,VBD,Who,WP,,PERSON
What TV quiz show left the air in 1975 to the tune of Vera Lynn 's We 'll Meet Again ?,,,left,VBD,leave,what,tv,"['what', 'tv']",WDT,NN,show,NN,,WORK_OF_ART
What direction do most baseball pitchers pitch toward ?,,,pitch,VBP,pitch,what,direction,"['what', 'direction']",WDT,NN,pitchers,NNS,,LOC
How many Beanie Baby sites are there ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,sites,NNS,,CARDINAL
What is 55 times sweeter than cane sugar ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,What,WP,,PRODUCT
Where are diamonds mined ?,,,mined,VBN,mine,where,be,"['where', 'be']",WRB,VBP,,,,LOC
How much money did the Marcos steal from their country ?,,,steal,VB,steal,how,much,"['how', 'much']",WRB,JJ,Marcos,NNP,PERSON,MONEY
Who makes the `` cross-your-heart bra '' ?,,,makes,VBZ,make,who,make,"['who', 'make']",WP,VBZ,Who,WP,,PERSON
Who is Archie Bunker 's son-in-law ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
What company produces Spumante ?,,,produces,VBZ,produce,what,company,"['what', 'company']",WDT,NN,company,NN,,ORG
What major airline has the best safety record in the world ?,,,has,VBZ,have,what,major,"['what', 'major']",WDT,JJ,airline,NN,,ORG
What President became Chief Justice after his presidency ?,,,became,VBD,become,what,President,"['what', 'President']",WP,NNP,President,NNP,,PERSON
How many innings constitute an official baseball game ?,,,constitute,VBP,constitute,how,many,"['how', 'many']",WRB,JJ,innings,NNS,,CARDINAL
What city has a newspaper called The Plain Dealer ?,,,has,VBZ,have,what,city,"['what', 'city']",WDT,NN,city,NN,,GPE
What U.S. state boasts Leif Ericson Park ?,,,boasts,VBZ,boast,what,U.S.,"['what', 'U.S.']",WP,NNP,state,NN,,GPE
How many flavors does Baskin & Robbins offer ?,,,offer,NN,offer,how,many,"['how', 'many']",WRB,JJ,flavors Baskin,NNP,ORG,CARDINAL
Who was chief engineer of the Starship Enterprise ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,Who,WP,,PERSON
What mayor made so many TV appearances he was asked to join AFTRA in 1984 ?,,,made,VBD,make,what,mayor,"['what', 'mayor']",WP,NN,mayor,NN,,PERSON
Which type of submarine was bought recently by South Korea ?,,,bought,VBN,buy,which,type,"['which', 'type']",WDT,NN,,,,PRODUCT
How much in miles is a ten K run ?,,,is,VBZ,be,how,much,"['how', 'much']",WRB,JJ,run,NN,,QUANTITY
When was Beethoven born ?,,,born,VBN,bear,when,be,"['when', 'be']",WRB,VBD,,,,DATE
Who is the most sexy celebrity ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
What detective lives on Punchbowl Hill and has 11 children ?,,,lives,VBZ,live,what,detective,"['what', 'detective']",WP,NN,detective,NN,,PERSON
Where did the ukulele originate ?,,,originate,VB,originate,where,do,"['where', 'do']",WRB,VBD,,,,LOC
Rotary engines used to be made by whom ?,,,used,VBD,use,whom,?,"['whom', '?']",WP,.,engines,NNS,,PERSON
Who portrayed the title character in the film The Day of the Jackal ?,,,portrayed,VBD,portray,who,portray,"['who', 'portray']",WP,VBD,Who,WP,,PERSON
What is the name of the gulf between Sweden and Finland ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,LOC
Who was the first X-Man to die in battle ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
Who is the President of Ghana ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
What two countries is Andorra nestled between ?,,,nestled,VBN,nestle,what,two,"['what', 'two']",WP,CD,countries Andorra,NNP,PERSON,GPE
How long ago was the Roe vs. Wade decision by the Supreme Court ?,,,was,VBD,be,how,long,"['how', 'long']",WRB,RB,decision,NN,,DATE
What terrorist group was headed by Donald DeFreeze ?,,,headed,VBN,head,what,terrorist,"['what', 'terrorist']",WDT,JJ,,,,ORG
What are the four largest mountain ranges in the continental United States ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,ranges,NNS,,GPE
What is the size of the student body at the University of Massachusetts in Amherst ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,size,NN,,CARDINAL
Who starred in the movie The War of the Worlds ?,,,starred,VBD,star,who,star,"['who', 'star']",WP,VBD,Who,WP,,PERSON
How many different kinds of ice cream are there ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,kinds,NNS,,CARDINAL
"What actor , who had greatest fame on TV , became the father of triplets ?",,,became,VBD,become,who,have,"['who', 'have']",WP,VBD,actor who,WP,,PERSON
What is the Homelite Inc. home page ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,page,NN,,LOC
What is a movie that Kevin Costner made about Sioux Indians ?,,,is,VBZ,be,that,Kevin,"['that', 'Kevin']",WDT,NNP,movie Costner,NNP,PERSON,WORK_OF_ART
What is Columbia Tristar 's phone number ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,number,NN,,CARDINAL
Where was Tesla born ?,,,born,VBN,bear,where,be,"['where', 'be']",WRB,VBD,,,,GPE
Who shot Lee Harvey Oswald ?,,,shot,VBD,shoot,who,shoot,"['who', 'shoot']",WP,VBD,Who,WP,,PERSON
When did Jaco Pastorius die ?,,,die,VB,die,when,do,"['when', 'do']",WRB,VBD,Pastorius,NNP,PERSON,DATE
What 's the most common street name in America ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,LOC
What are the top 5 tallest buildings in the world ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,buildings,NNS,,FAC
What was the name of the computer in ` 2001 : A Space Odyssey ' ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,name Odyssey,NN,,PRODUCT
Who portrayed Renaud in Casablanca ?,,,portrayed,VBD,portray,who,portray,"['who', 'portray']",WP,VBD,Who,WP,,PERSON
What country has problems with hooligans ?,,,has,VBZ,have,what,country,"['what', 'country']",WP,NN,country,NN,,GPE
What planet did Percival Lovell discover ?,,,discover,VB,discover,what,planet,"['what', 'planet']",WDT,NN,,,,LOC
How often are brain cells replaced ?,,,replaced,VBD,replace,how,often,"['how', 'often']",WRB,RB,cells,NNS,,QUANTITY
How much did Mercury spend on advertising in 1993 ?,,,spend,VB,spend,how,much,"['how', 'much']",WRB,JJ,Mercury,NNP,ORG,MONEY
What kind of rocket launched the Surveyor spacecraft ?,,,launched,VBD,launch,what,kind,"['what', 'kind']",WDT,NN,kind,NN,,PRODUCT
What country contains the westernmost point in South America ?,,,contains,VBZ,contain,what,country,"['what', 'country']",WP,NN,country,NN,,GPE
What 's the American dollar equivalent for 8 pounds in the U.K. ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,dollar,NN,,MONEY
What year did Charles Dicken die ?,,,die,VB,die,what,year,"['what', 'year']",WDT,NN,Dicken,NNP,PERSON,DATE
What D.H. Lawrence novel was originally titled Tenderness ?,,,titled,VBN,title,what,D.H.,"['what', 'D.H.']",WP,NNP,,,,WORK_OF_ART
What rock group raised a ruckus at the White House by singing American Woman ?,,,raised,VBD,raise,what,rock,"['what', 'rock']",WP,NN,group,NN,,ORG
When did the last Americans leave Vietnam ?,,,leave,VBP,leave,when,do,"['when', 'do']",WRB,VBD,Americans,NNPS,NORP,DATE
What famed clown appeared on an early Howdy Doody Show and insisted that Clarabell be made up as a real clown ?,,,appeared,VBD,appear,what,fame,"['what', 'fame']",WP,VBD,clown,NN,,PERSON
"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?",,,formed,VBN,form,what,group,"['what', 'group']",WDT,NN,police,NNS,,ORG
What snack food has ridges ?,,,has,VBZ,have,what,snack,"['what', 'snack']",WDT,NN,food,NN,,PRODUCT
How many people died when the Estonia sank in 1994 ?,,,died,VBD,die,when,the,"['when', 'the']",WRB,DT,people Estonia,NNP,GPE,CARDINAL
What Southern California town is named after a character made famous by Edgar Rice Burroughs ?,,,named,VBN,name,what,Southern,"['what', 'Southern']",WP,NNP,,,,LOC
How many colors are there in a rainbow ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What is the habitat of the chickadee ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,habitat,NN,,LOC
What city 's the kickoff point for climbs of Mount Everest ?,,,point,NN,point,what,city,"['what', 'city']",WDT,NN,,,,GPE
What is the average salary of a paleontologist ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,salary,NN,,MONEY
Where is the largest post office building in the world ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,building,NN,,FAC
Who is currently the most popular singer in the world ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,Who,WP,,PERSON
What Jules Verne novel features scientists held captive in the submarine Nautilus ?,,,features,NNS,feature,what,Jules,"['what', 'Jules']",WP,NNP,novel scientists,NNS,,WORK_OF_ART
"What company started out making pies , and wound up manufacturing plastic throwing toys ?",,,started,VBD,start,what,company,"['what', 'company']",WP,NN,company,NN,,ORG
How many endangered species are there in the world ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,species,NNS,,CARDINAL
Which large U.S. city had the highest murder rate for 1988 ?,,,had,VBD,have,which,large,"['which', 'large']",WDT,JJ,city,NN,,GPE
"Who was the bandleader mentor of Ella Fitzgerald with whom she cowrote `` A_Tisket , A-Tasket '' ?",,,was,VBD,be,whom,-PRON-,"['whom', '-PRON-']",WP,PRP,she,PRP,,PERSON
Who invented basketball ?,,,invented,VBD,invent,who,invent,"['who', 'invent']",WP,VBD,Who,WP,,PERSON
When was the last major eruption of Mount St. Helens ?,,,was,VBD,be,when,be,"['when', 'be']",WRB,VBD,eruption,NN,,DATE
What was the name of Humphrey Bogart 's club in Casablanca ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,name,NN,,ORG
What U.S. Government agency registers trademarks ?,,,registers,NNS,register,what,U.S.,"['what', 'U.S.']",WP,NNP,agency,NN,,ORG
What hockey player did Ronald Reagan joke he would swap Texas for ?,,,did,VBD,do,what,hockey,"['what', 'hockey']",WDT,NN,player he,PRP,,PERSON
"What President was buried at his ancestral home overlooking the Hudson River at Hyde Park , New York ?",,,buried,VBN,bury,what,President,"['what', 'President']",WP,NNP,,,,PERSON
How much did the first Barbie doll sell for in 1959 ?,,,sell,VB,sell,how,much,"['how', 'much']",WRB,JJ,doll,NN,,MONEY
What country was General Douglas McArthur in when he was recalled by President Truman ?,,,was,VBD,be,when,-PRON-,"['when', '-PRON-']",WRB,PRP,country,NN,,GPE
What are the five most popular Usenet groups ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,groups,NNS,,ORG
"What is the latitude and longitude of El Paso , Texas ?",,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,latitude,NN,,CARDINAL
How many head injuries are there in recreational ice skating each year ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,injuries,NNS,,CARDINAL
A normal human pregnancy lasts how many months ?,,,lasts,VBZ,last,how,many,"['how', 'many']",WRB,JJ,pregnancy,NN,,CARDINAL
Who domesticated the wild turkey ?,,,domesticated,VBD,domesticate,who,domesticate,"['who', 'domesticate']",WP,VBD,Who,WP,,PERSON
What country does Ileana Cotrubas come from ?,,,come,VB,come,what,country,"['what', 'country']",WP,NN,Cotrubas,NNP,ORG,GPE
What two European countries are joined by the Gran San Bernardo Pass ?,,,joined,VBN,join,what,two,"['what', 'two']",WP,CD,,,,GPE
What movie did Steven Spielberg direct in 1975 ?,,,direct,JJ,direct,what,movie,"['what', 'movie']",WDT,NN,movie,NN,,WORK_OF_ART
What was the name of the US helicopter pilot shot down over North Korea ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,name,NN,,PERSON
"Name the designer of the shoe that spawned millions of plastic imitations , known as ` jellies ' .",,,Name,VB,name,that,spawn,"['that', 'spawn']",WDT,VBD,that,WDT,,PERSON
Who is Olive Oyl 's brother ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
What was the first video ever made ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,,,,WORK_OF_ART
What 's the favorite food of dragonflies ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,food,NN,,PRODUCT
What king boycotted Prince Charles 's wedding ?,,,boycotted,VBD,boycott,what,king,"['what', 'king']",WP,NN,king,NN,,PERSON
What was the nickname of model Leslie Hornby ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,nickname,NN,,PERSON
Where is the Taj Mahal ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,Mahal,NNP,ORG,GPE
In 139 the papal court was forced to move from Rome to where ?,,,forced,VBN,force,where,?,"['where', '?']",WRB,.,,,,LOC
What is the first day of the week ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,day,NN,DATE,DATE
What capital is built around Monument Circle which contains soldiers and sailors monument ?,,,built,VBN,build,which,contain,"['which', 'contain']",WDT,VBZ,which,WDT,,GPE
What is the first book of the Old Testament ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,book,NN,,WORK_OF_ART
How many of them are in sub-Saharan Africa ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,many,JJ,,CARDINAL
What famed wall supports the Badaling turret ?,,,supports,VBZ,support,what,fame,"['what', 'fame']",WP,VBD,wall,NN,,LOC
"Who portrayed Fatman in the television show , `` Jake and the Fatman '' ?",,,portrayed,VBD,portray,who,portray,"['who', 'portray']",WP,VBD,Who,WP,,PERSON
Where are good science sites on the Internet ?,,,are,VBP,be,where,be,"['where', 'be']",WRB,VBP,sites,NNS,,LOC
What woman was Time 's Man of the Year for 1952 ?,,,was,VBD,be,what,woman,"['what', 'woman']",WDT,NN,woman,NN,,PERSON
Who wrote The Ugly Duckling ?,,,wrote,VBD,write,who,write,"['who', 'write']",WP,VBD,Who,WP,,PERSON
Who designed London Bridge ?,,,designed,VBD,design,who,design,"['who', 'design']",WP,VBD,Who,WP,,PERSON
"How many miles are there between Tel Aviv , Israel and Memphis , Tennessee ?",,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
How many flavors of ice cream does Howard Johnson 's have ?,,,have,VBP,have,how,many,"['how', 'many']",WRB,JJ,flavors,NNS,,CARDINAL
Where are the busiest Amtrak rail stations in the U.S. ?,,,are,VBP,be,where,be,"['where', 'be']",WRB,VBP,stations,NNS,,LOC
How many freckles does Howdy Doody have on his face ?,,,have,VB,have,how,many,"['how', 'many']",WRB,JJ,Doody,NNP,ORG,CARDINAL
Who was considered to be the father of psychology ?,,,considered,VBN,consider,who,be,"['who', 'be']",WP,VBD,,,,PERSON
How tall was the animated King Kong ?,,,was,VBD,be,how,tall,"['how', 'tall']",WRB,JJ,Kong,NNP,GPE,QUANTITY
What is the population of Japan ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,population,NN,,CARDINAL
Name an American made motorcycle .,,,Name,VB,name,,,[],,,,,,PRODUCT
Where was the largest concentration camp in World War II ?,,,was,VBD,be,where,be,"['where', 'be']",WRB,VBD,camp,NN,,LOC
How much did Alaska cost when bought from Russia ?,,,cost,NN,cost,when,buy,"['when', 'buy']",WRB,VBN,,,,MONEY
How many events make up the decathlon ?,,,make,VBP,make,how,many,"['how', 'many']",WRB,JJ,events,NNS,,CARDINAL
What were the first bodies visited by spacecraft ?,,,were,VBD,be,what,be,"['what', 'be']",WP,VBD,bodies,NNS,,LOC
